"","season","confidence","n","belowThreshold1","aboveThreshold1","aboveThreshold2","aboveThreshold3","aboveThreshold4","belowThreshold1_percent","aboveThreshold2_percent","aboveThreshold3_percent","aboveThreshold4_percent"
"1","dry","particle.L.master.05",17,17,0,0,0,0,1,0,0,0
"2","dry","particle.L.master.25",17,12,5,0,0,0,0.705882352941177,0,0,0
"3","dry","particle.L.master.50",17,4,13,4,2,0,0.235294117647059,0.235294117647059,0.117647058823529,0
"4","dry","particle.L.master.75",17,0,17,13,10,2,0,0.764705882352941,0.588235294117647,0.117647058823529
"5","dry","particle.L.master.95",17,0,17,17,17,16,0,1,1,0.941176470588235
"6","wet","particle.L.master.05",17,16,1,0,0,0,0.941176470588235,0,0,0
"7","wet","particle.L.master.25",17,9,8,2,1,0,0.529411764705882,0.117647058823529,0.0588235294117647,0
"8","wet","particle.L.master.50",17,0,17,7,7,1,0,0.411764705882353,0.411764705882353,0.0588235294117647
"9","wet","particle.L.master.75",17,0,17,16,15,7,0,0.941176470588235,0.882352941176471,0.411764705882353
"10","wet","particle.L.master.95",17,0,17,17,17,17,0,1,1,1
